1883, (2021), 8.8 based on 80_628 user ratings, https://www.imdb.com/title/tt13991232/, https://m.media-amazon.com/images/M/MV5BNDZkZDdkMjYtMGI3Yi00MmVkLTkzZjQtMGI0NGViNzIzNjhjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY67_CR0,0,45,67_AL_.jpg
Cobra Kai, (2018), 8.5 based on 189_517 user ratings, https://www.imdb.com/title/tt7221388/, https://m.media-amazon.com/images/M/MV5BYWU4ZmI0NTItZjcyNy00MzQ5LThiNDQtZDZkNjg1NWUwN2RhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR0,0,45,67_AL_.jpg
Jack Ryan, (2018), 8.0 based on 142_702 user ratings, https://www.imdb.com/title/tt5057054/, https://m.media-amazon.com/images/M/MV5BNDNmNGI2NzAtZjZhYi00YTc1LWJjOTctMTRlMDI0MzEzNjA2XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR0,0,45,67_AL_.jpg
Better Call Saul, (2015), 8.9 based on 545_105 user ratings, https://www.imdb.com/title/tt3032476/, https://m.media-amazon.com/images/M/MV5BMTMxOGM0NzItM2E0OS00YWYzLWEzNzUtODUzZTBjM2I4MTZkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY67_CR0,0,45,67_AL_.jpg
Rick and Morty, (2013), 9.1 based on 535_543 user ratings, https://www.imdb.com/title/tt2861424/, https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX45_CR0,0,45,67_AL_.jpg
Wolf Pack, (2023), 6.0 based on 1_940 user ratings, https://www.imdb.com/title/tt15487922/, https://m.media-amazon.com/images/M/MV5BNGMxMzFhZjctZjcxOC00ZmY3LTg0MmYtODg4YWU3ZDhmMmUxXkEyXkFqcGdeQXVyMTUwNjg3NTUw._V1_UX45_CR0,0,45,67_AL_.jpg
The Mandalorian, (2019), 8.7 based on 494_420 user ratings, https://www.imdb.com/title/tt8111088/, https://m.media-amazon.com/images/M/MV5BZjRlZDIyNDMtZjIwYi00YmJiLTg4NjMtODA2Mjc0YTBlNzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg
House of the Dragon, (2022), 8.5 based on 305_090 user ratings, https://www.imdb.com/title/tt11198330/, https://m.media-amazon.com/images/M/MV5BZjBiOGIyY2YtOTA3OC00YzY1LThkYjktMGRkYTNhNTExY2I2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg
The Boys, (2019), 8.7 based on 522_584 user ratings, https://www.imdb.com/title/tt1190634/, https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR4,0,45,67_AL_.jpg
Mayfair Witches, (2023), 6.5 based on 4_011 user ratings, https://www.imdb.com/title/tt15428778/, https://m.media-amazon.com/images/M/MV5BNzIyZjYzYjgtYzQwNC00MGY4LWJhMTAtMDIzMTZiMGE0YjkxXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR0,0,45,67_AL_.jpg
